Mountain,Height (m),Prominence (m),Range,First ascent,Ascents bef. 2004,Failed attempts bef. 2004,Total attempts,Success rate,Difficulty
Nanda Devi,7816,3139,Garhwal Himalaya,1936,14,12,26,53.84615384615385,0.17730789794909563
Sunanda Devi,7434,260,Garhwal Himalaya,1939,14,12,26,53.84615384615385,0.17730789794909563
Tirich Mir,7708,3910,Hindu Kush,1950,20,11,31,64.51612903225806,0.17644234164253939
Masherbrum / K1,7821,2457,Masherbrum Karakoram,1960,4,9,13,30.76923076923077,0.15514441070545867
Noshaq,7492,2024,Hindu Kush,1960,33,3,36,91.66666666666666,0.14421169537333653
Changtse,7543,520,Mahalangur Himalaya,1982,9,9,18,50.0,0.13219405409222515
Diran,7266,1325,Rakaposhi-Haramosh Karakoram,1968,12,8,20,60.0,0.12240190193724548
Khunyang Chhish,7823,1765,Hispar Karakoram,1971,2,6,8,25.0,0.11750582585975568
Malubiting,7458,2193,Rakaposhi-Haramosh Karakoram,1971,2,6,8,25.0,0.11750582585975568
Ngadi Chuli,7871,1020,Manaslu Himalaya,1970,2,6,8,25.0,0.11750582585975568
Momhil Sar,7414,980,Hispar Karakoram,1964,2,6,8,25.0,0.11750582585975568
Gongga Shan / Minya Konka,7556,3642,Daxue Shan (Hengduan Shan),1932,6,7,13,46.15384615384615,0.10342960713697245
Batura Sar,7795,3118,Batura Karakoram,1976,4,6,10,40.0,0.09180142645293413
Trivor,7577,980,Hispar Karakoram,1960,2,5,7,28.57142857142857,0.08996539792387546
Ultar,7388,700,Batura Karakoram,1996,2,5,7,28.57142857142857,0.08996539792387546
Putha Hiunchuli,7246,1151,Dhaulagiri Himalaya,1954,11,5,16,68.75,0.08545878244345868
Distaghil Sar,7884,2525,Hispar Karakoram,1960,3,5,8,37.5,0.07833721723983714
Abi Gamin,7355,217,Garhwal Himalaya,1950,17,2,19,89.47368421052632,0.07797721164590404
